taxon	rank	trait_id	trait_name	mean_value	unit	sd	n	origin
Equisetaceae	family	26	Seed dry mass	NA	mg	NA	0	global mean
Equisetaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.203135314	g/cm^3	NA	1	global mean
Polypodiaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	1561.805456	mm^2	1360.117844	30	global mean
Polypodiaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	11.26570937	mg/g	4.290689423	41	global mean
Polypodiaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	13.25529288	mm^2/mg	4.879275424	76	global mean
Polypodiaceae	family	3106	Plant height vegetative	1.5724	m	2.134448871	50	global mean
Polypodiaceae	family	26	Seed dry mass	13.98	mg	13.87950047	2	global mean
Polypodiaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Encalyptaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Encalyptaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	global mean
Encalyptaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Encalyptaceae	family	3106	Plant height vegetative	NA	m	NA	0	global mean
Encalyptaceae	family	26	Seed dry mass	NA	mg	NA	0	global mean
Encalyptaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Rubiaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	4828.503259	mm^2	9665.065351	1442	global mean
Rubiaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	23.23267929	mg/g	9.352608164	1580	global mean
