location_id	bin_early	bin_late	morphotype	taxon	rank	taxonomic_tree	taxon_ambiguous_with	variable	variable_unit	variable_value (float)	variable_ci (float option)	variable_confidence_qualitative (string option)
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Ranunculus sp.	Ranunculus	Genus	Life > Plantae > Angiosperms > Ranunculales > Ranunculaceae > Ranunculus	Ranunculus	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Rumex acetosella	Rumex acetosella L.	Species	Life > Plantae > Angiosperms > Caryophyllales > Polygonaceae > Rumex > Rumex acetosella L.	Rumex acetosella L.	pollen	percentage	1.25		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Saxifraga oppositifolia type	Saxifraga paniculata Mill.	Species	Saxifraga paniculata Mill.	Saxifraga paniculata Mill.;Saxifraga aizoides L.;Saxifraga tricuspidata Rottb.;Saxifraga oppositifolia L.	pollen	percentage	0.55556		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Saxifraga oppositifolia type	Saxifraga aizoides L.	Species	Saxifraga aizoides L.	Saxifraga paniculata Mill.;Saxifraga aizoides L.;Saxifraga tricuspidata Rottb.;Saxifraga oppositifolia L.	pollen	percentage	0.55556		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Saxifraga oppositifolia type	Saxifraga tricuspidata Rottb.	Species	Saxifraga tricuspidata Rottb.	Saxifraga paniculata Mill.;Saxifraga aizoides L.;Saxifraga tricuspidata Rottb.;Saxifraga oppositifolia L.	pollen	percentage	0.55556		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Saxifraga oppositifolia type	Saxifraga oppositifolia L.	Species	Life > Plantae > Angiosperms > Saxifragales > Saxifragaceae > Saxifraga > Saxifraga oppositifolia L.	Saxifraga paniculata Mill.;Saxifraga aizoides L.;Saxifraga tricuspidata Rottb.;Saxifraga oppositifolia L.	pollen	percentage	0.55556		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Thalictrum alpinum	Thalictrum alpinum L.	Species	Life > Plantae > Angiosperms > Ranunculales > Ranunculaceae > Thalictrum > Thalictrum alpinum L.	Thalictrum alpinum L.	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Tofieldia sp.	Tofieldia	Genus	Life > Plantae > Angiosperms > Alismatales > Tofieldiaceae > Tofieldia	Tofieldia	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6821	6821	Alnus sp.	Alnus	Genus	Life > Plantae > Angiosperms > Fagales > Betulaceae > Alnus	Alnus	pollen	percentage	1.2766		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6821	6821	Artemisia sp.	Artemisia	Genus	Life > Plantae > Angiosperms > Asterales > Asteraceae > Asteroideae > Anthemideae > Artemisia	Artemisia	pollen	percentage	0		
