Taxon	Family	Genus	Species	Subunit (string option)	Subunit Value	ID	TaxonOriginal	Ic	FN	KP	SF	UN	YG	Tm	AO	Kh	YK	CW	WI	CS	CE	AW	AN	CC	HL	EP	GW	GE	A	B	C	D	E	N
B. thorild-wulffii subsp. glabrata	BRASSICACEAE	Braya	thorild-wulffii	subsp.	glabrata	670905b	B. thorild-wulffii subsp. glabrata	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	R	R	-	-
B. pilosa	BRASSICACEAE	Braya	pilosa			670906	B. pilosa	-	-	-	-	-	-	r	r	r	-	r	s	-	r	-	r	r	-	-	-	-	-	?	R	R	R	?
B. rosea	BRASSICACEAE	Braya	rosea			670907	B. rosea	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
E. pallasii	BRASSICACEAE	Erysimum	pallasii			671001	E. pallasii	-	-	-	-	r	-	r	-	s	r	f	-	r	f	f	f	f	-	f	r	-	R	F	F	F	S	R
E. coarctatum	BRASSICACEAE	Erysimum	coarctatum			671002	E. coarctatum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	s	-	-	-	-	-	-	-	?	S	F
E. strictum	BRASSICACEAE	Erysimum	strictum			671003	E. strictum	r	s	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
E. marschallianum	BRASSICACEAE	Erysimum	marschallianum			671004	E. marschallianum	-	-	-	-	-	-	r	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	R
E. altum	BRASSICACEAE	Erysimum	altum			671005	E. altum	-	r	s	-	s	r	r	-	r	-	r	-	-	-	r	r	r	r	-	-	-	-	-	-	-	S	F
P. nudicaulis	BRASSICACEAE	Parrya	nudicaulis			671101	P. nudicaulis	-	-	r	-	s	f	f	f	f	f	f	f	r	f	f	f	r	-	-	-	-	R	F	F	F	F	F
P. nudicaulis subsp. nudicaulis	BRASSICACEAE	Parrya	nudicaulis	subsp.	nudicaulis	671101a	P. nudicaulis subsp. nudicaulis	-	-	r	-	s	f	f	f	f	f	f	f	r	f	f	f	-	-	-	-	-	R	F	F	F	F	F
P. nudicaulis subsp. septentrionalis	BRASSICACEAE	Parrya	nudicaulis	subsp.	septentrionalis	671101b	P. nudicaulis subsp. septentrionalis	-	-	-	-	-	?	?	?	?	?	?	?	-	r	f	f	r	-	-	-	-	R	F	F	F	F	S
P. nauruaq	BRASSICACEAE	Parrya	nauruaq			671102	P. nauruaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	-
P. arctica	BRASSICACEAE	Parrya	arctica			671103	P. arctica	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	f	r	r	-	-	S	F	F	F	S	R
B. vulgaris	BRASSICACEAE	Barbarea	vulgaris			671201	B. vulgaris	*	*	-	*	*	-	*	-	-	-	-	-	-	*	-	-	-	*	-	-	-	-	-	*	*	*	*
B. orthoceras	BRASSICACEAE	Barbarea	orthoceras			671202	B. orthoceras	-	-	-	-	-	-	r	r	s	r	r	-	r	r	f	r	r	r	-	-	-	-	-	-	?	S	F
B. stricta	BRASSICACEAE	Barbarea	stricta			671203	B. stricta	*	r	-	-	*	-	-	-	-	*	-	-	-	-	-	-	-	-	-	*	-	-	-	-	-	R	F
R. amphibia	BRASSICACEAE	Rorippa	amphibia			671301	R. amphibia	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
R. sylvestris (subsp. sylvestris)	BRASSICACEAE	Rorippa	sylvestris	(subsp.	sylvestris)	671302	R. sylvestris (subsp. sylvestris)	*	-	-	**	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	**	-	-	-	**	-	*	*
R. islandica subsp. islandica	BRASSICACEAE	Rorippa	islandica	subsp.	islandica	671303a	R. islandica subsp. islandica	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	R	S	S
R. islandica subsp. dogadovae	BRASSICACEAE	Rorippa	islandica	subsp.	dogadovae	671303b	R. islandica subsp. dogadovae	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	R
R. palustris	BRASSICACEAE	Rorippa	palustris			671304	R. palustris	-	r	s	-	s	r	r	r	r	r	r	-	r	r	s	s	r	r	-	*	-	-	-	-	?	S	F
R. palustris var. palustris	BRASSICACEAE	Rorippa	palustris	var.	palustris	671304a	R. palustris var. palustris	-	r	s	-	s	r	r	r	r	r	r	-	r	r	-	-	-	-	-	*	-	-	-	-	?	S	F
R. palustris var. hispida	BRASSICACEAE	Rorippa	palustris	var.	hispida	671304b	R. palustris var. hispida	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	F
R. barbareifolia	BRASSICACEAE	Rorippa	barbareifolia			671305	R. barbareifolia	-	-	-	-	-	-	-	-	r	-	r	-	r	-	r	r	r	-	-	-	-	-	-	-	-	R	S
R. calycina	BRASSICACEAE	Rorippa	calycina			671306	R. calycina	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	R	-
A. sisymbrioides	BRASSICACEAE	Armoracia	sisymbrioides			671401	A. sisymbrioides	-	-	-	-	-	-	-	-	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	S
I. tinctoria subsp. jacutensis	BRASSICACEAE	Isatis	tinctoria	subsp.	jacutensis	671501a	I. tinctoria subsp. jacutensis	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
C. trifida	BRASSICACEAE	Cardamine	trifida			671601	C. trifida	-	-	-	-	-	-	r	r	s	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S	R
C. macrophylla	BRASSICACEAE	Cardamine	macrophylla			671602	C. macrophylla	-	-	r	-	s	r	r	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
C. polemonioides	BRASSICACEAE	Cardamine	polemonioides			671603	C. polemonioides	f	f	f	f	f	f	f	f	f	f	f	f	r	f	f	f	f	f	s	f	f	F	F	F	F	F	S
C. dentata	BRASSICACEAE	Cardamine	dentata			671604	C. dentata	-	-	?	-	?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	F
C. amara	BRASSICACEAE	Cardamine	amara			671605	C. amara	-	-	b	-	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	F
C. pensylvanica	BRASSICACEAE	Cardamine	pensylvanica			671606	C. pensylvanica	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	b	F
C. impatiens	BRASSICACEAE	Cardamine	impatiens			671607	C. impatiens	-	-	-	-	-	*?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*?	R
C. umbellata	BRASSICACEAE	Cardamine	umbellata			671608	C. umbellata	-	-	-	-	-	-	-	-	-	-	-	-	-	r	s	r	-	-	-	-	-	-	-	-	R	S	F
C. prorepens	BRASSICACEAE	Cardamine	prorepens			671609	C. prorepens	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
C. bellidifolia (subsp. bellidifolia)	BRASSICACEAE	Cardamine	bellidifolia	(subsp.	bellidifolia)	671610	C. bellidifolia (subsp. bellidifolia)	s	r	-	f	f	f	f	f	f	f	f	f	r	f	f	f	s	f	f	f	f	F	F	F	F	F	F
C. digitata	BRASSICACEAE	Cardamine	digitata			671611	C. digitata	-	-	-	-	-	-	-	-	-	-	s	f	-	f	s	f	f	r	-	-	-	-	-	R	F	F	S
C. microphylla	BRASSICACEAE	Cardamine	microphylla			671612	C. microphylla	-	-	-	-	-	-	r	r	f	-	-	-	r	f	-	s	-	-	-	-	-	-	-	R	S	S	R
C. blaisdellii	BRASSICACEAE	Cardamine	blaisdellii			671613	C. blaisdellii	-	-	-	-	-	-	-	-	-	-	s	f	r	f	s	s	-	-	-	-	-	-	-	R	F	F	F
C. hyperborealis (ined.)	BRASSICACEAE	Cardamine	hyperborealis	(ined.)		671614	C. hyperborealis (ined.)	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	R	-
C. purpurea	BRASSICACEAE	Cardamine	purpurea			671615	C. purpurea	-	-	-	-	-	-	-	-	-	-	-	r	-	-	f	s	-	-	-	-	-	-	-	R	S	S	S
C. sphenophylla	BRASSICACEAE	Cardamine	sphenophylla			671616	C. sphenophylla	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	R	-
C. victoris	BRASSICACEAE	Cardamine	victoris			671617	C. victoris	-	-	-	-	-	-	-	-	-	-	?	-	r	s	-	-	-	-	-	-	-	-	-	-	S	S	R
A. alpina	BRASSICACEAE	Arabis	alpina			671701	A. alpina	f	f	s	r	f	-	r	-	-	-	-	-	-	-	-	-	r	f	-	f	f	-	R	F	F	F	F
A. hirsuta	BRASSICACEAE	Arabis	hirsuta			671702	A. hirsuta	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
A. pycnocarpa	BRASSICACEAE	Arabis	pycnocarpa			671703	A. pycnocarpa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	b	r	r	-	-	-	-	-	-	-	R	F
B. stricta	BRASSICACEAE	Boechera	stricta			671801	B. stricta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	R	S
B. grahamii	BRASSICACEAE	Boechera	grahamii			671802	B. grahamii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	b	-	-	-	-	-	-	-	R	F
B. holboellii	BRASSICACEAE	Boechera	holboellii			671803	B. holboellii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	r	-	-	?	S	S	F
A. obovatum	BRASSICACEAE	Alyssum	obovatum			671901	A. obovatum	-	-	-	-	r	r	r	-	r	-	s	-	-	-	-	r	-	-	-	-	-	-	-	-	R	S	S
P. arctica	BRASSICACEAE	Physaria	arctica			672001	P. arctica	-	-	-	-	-	-	r	-	s	?	-	s	-	s	s	s	f	s	f	s	f	R	F	F	F	F	S
P. calderi	BRASSICACEAE	Physaria	calderi			672002	P. calderi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	R	R
D. pauciflora	BRASSICACEAE	Draba	pauciflora			672101	D. pauciflora	-	-	-	f	s	s	f	s	f	s	f	f	-	r	-	r	f	s	f	f	f	F	F	F	F	S	-
D. micropetala	BRASSICACEAE	Draba	micropetala			672102	D. micropetala	-	-	-	f	s	s	f	s	s	s	X	s	-	-	-	r	f	?	f	f	f	F	F	F	F	R	-
D. simmonsii	BRASSICACEAE	Draba	simmonsii			672103	D. simmonsii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	f	f	f	-	-	F	F	F	S	R	-
D. stenopetala	BRASSICACEAE	Draba	stenopetala			672104	D. stenopetala	-	-	-	-	-	-	-	-	-	-	s	-	r	f	r	-	-	-	-	-	-	-	-	-	S	S	S
D. tschuktschorum	BRASSICACEAE	Draba	tschuktschorum			672105	D. tschuktschorum	-	-	-	-	-	-	-	-	-	-	-	r	-	s	-	-	-	-	-	-	-	-	-	R	R	R	-
D. alpina	BRASSICACEAE	Draba	alpina			672106	D. alpina	r	r	r	f	f	-	-	-	-	-	-	-	-	-	-	-	-	s	s	f	f	S	F	F	F	F	F
D. glacialis	BRASSICACEAE	Draba	glacialis			672107	D. glacialis	-	-	r	?	f	s	f	f	f	r	-	-	-	-	-	-	-	?	-	-	-	-	R	F	F	F	S
D. oxycarpa	BRASSICACEAE	Draba	oxycarpa			672108	D. oxycarpa	?	-	?	f	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	f	S	F	F	F	F	S
D. pseudo-oxycarpa (ined.)	BRASSICACEAE	Draba	pseudo-oxycarpa	(ined.)		672109	D. pseudo-oxycarpa (ined.)	-	-	-	-	-	-	-	-	-	-	-	s	-	r	r	r	-	-	-	-	-	-	R	S	S	R	R
D. macounii	BRASSICACEAE	Draba	macounii			672110	D. macounii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	-	-	-	-	-	-	-	-	-	S	S
D. eschscholtzii	BRASSICACEAE	Draba	eschscholtzii			672111	D. eschscholtzii	-	-	-	-	-	-	r	r	r	-	r	-	-	r	-	-	-	-	-	-	-	-	-	?	R	R	R
D. ochroleuca	BRASSICACEAE	Draba	ochroleuca			672112	D. ochroleuca	-	-	-	-	?	-	?	-	-	-	?	-	-	?	-	-	-	-	-	-	-	-	-	-	-	?	S
D. pilosa	BRASSICACEAE	Draba	pilosa			672113	D. pilosa	-	-	-	-	-	r	f	s	f	?	s	r	-	s	s	s	r	r	-	-	-	-	-	R	F	F	S
D. corymbosa	BRASSICACEAE	Draba	corymbosa			672114	D. corymbosa	-	-	-	f	s	r	f	r	f	s	r	f	-	r	s	f	f	f	f	r	s	F	F	F	F	S	R
D. oligosperma	BRASSICACEAE	Draba	oligosperma			672115	D. oligosperma	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	-	S
D. fladnizensis	BRASSICACEAE	Draba	fladnizensis			672116	D. fladnizensis	-	r	r	r	s	s	s	s	f	-	r	s	-	r	s	s	r	s	r	r	s	-	?	S	F	F	F
D. subcapitata	BRASSICACEAE	Draba	subcapitata			672117	D. subcapitata	-	-	-	f	s	s	f	s	s	s	s	f	-	r	-	r	f	s	f	s	f	F	F	F	F	S	R
D. lactea	BRASSICACEAE	Draba	lactea			672118	D. lactea	-	-	r	f	f	s	f	f	f	s	s	f	-	s	f	f	f	f	f	f	f	F	F	F	F	F	S
D. taimyrensis	BRASSICACEAE	Draba	taimyrensis			672119	D. taimyrensis	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	R	-	-
D. nivalis	BRASSICACEAE	Draba	nivalis			672120	D. nivalis	s	r	s	f	f	f	-	-	r	r	f	-	r	f	s	s	f	f	s	f	f	S	F	F	F	F	F
D. chamissonis	BRASSICACEAE	Draba	chamissonis			672121	D. chamissonis	-	-	-	-	-	-	-	-	-	-	r	-	r	r	r	-	-	-	-	-	-	-	-	-	R	R	S
D. lonchocarpa (var. lonchocarpa)	BRASSICACEAE	Draba	lonchocarpa	(var.	lonchocarpa)	672122	D. lonchocarpa (var. lonchocarpa)	-	-	-	-	-	-	-	-	r	-	r	r	?	r	r	r	-	-	-	-	-	-	-	R	R	R	F
D. palanderiana	BRASSICACEAE	Draba	palanderiana			672123	D. palanderiana	-	-	-	-	-	-	-	-	?	-	r	r	-	r	s	f	-	-	-	-	-	-	-	R	S	S	S
Diploid morph	BRASSICACEAE	Draba	morph			672123a	Diploid morph	-	-	-	-	-	-	-	-	?	-	?	-	-	r	s	f	-	-	-	-	-	-	-	-	R	S	S
Polyploid morph	BRASSICACEAE	Draba	morph			672123b	Polyploid morph	-	-	-	-	-	-	-	-	-	-	r	r	-	r	-	-	-	-	-	-	-	-	-	R	S	S	?
D. magadanensis	BRASSICACEAE	Draba	magadanensis			672124	D. magadanensis	-	-	-	-	-	-	-	-	-	-	?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	S
D. cinerea	BRASSICACEAE	Draba	cinerea			672125	D. cinerea	-	-	r	-	f	s	f	s	f	r	f	f	r	s	f	f	s	s	r	s	r	-	-	R	S	F	F
D. arctica subsp. arctica	BRASSICACEAE	Draba	arctica	subsp.	arctica	672126a	D. arctica subsp. arctica	-	-	-	f	-	-	-	-	-	-	-	-	-	-	-	-	-	-	f	s	s	F	F	F	F	R	-
D. arctica subsp. ostenfeldii	BRASSICACEAE	Draba	arctica	subsp.	ostenfeldii	672126b	D. arctica subsp. ostenfeldii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	s	r	S	S	?	-	-	-
D. oblongata	BRASSICACEAE	Draba	oblongata			672127	D. oblongata	-	-	-	?	-	-	r	-	r	r	r	r	-	r	-	r	f	-	f	f	f	F	F	F	F	R	-
D. arctogena	BRASSICACEAE	Draba	arctogena			672128	D. arctogena	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	f	r	s	S	S	S	S	S	R
D. sp. aff. arctogena	BRASSICACEAE	Draba	sp.	aff.	arctogena	672129	D. sp. aff. arctogena	-	-	-	-	-	-	-	-	-	-	-	s	-	-	-	-	-	-	-	-	-	-	R	S	-	-	-
D. parvisiliquosa	BRASSICACEAE	Draba	parvisiliquosa			672130	D. parvisiliquosa	-	-	-	-	-	-	r	-	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	R	R	R	R
D. rupestris	BRASSICACEAE	Draba	rupestris			672131	D. rupestris	f	f	r	s	s	-	-	-	-	-	-	-	-	-	-	-	-	s	-	f	f	-	R	S	F	F	F
D. glabella	BRASSICACEAE	Draba	glabella			672132	D. glabella	-	f	f	f	f	f	s	f	f	s	f	f	s	f	s	f	f	f	r	f	s	-	S	F	F	F	F
D. juvenilis	BRASSICACEAE	Draba	juvenilis			672133	D. juvenilis	-	-	-	-	-	-	r	r	r	r	f	s	r	f	f	f	r	-	-	-	-	-	-	-	R	F	F
D. incana	BRASSICACEAE	Draba	incana			672134	D. incana	f	f	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	s	r	-	-	?	S	F	F
D. cana	BRASSICACEAE	Draba	cana			672135	D. cana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	s	r	r	-	s	r	-	-	-	S	F	F
D. borealis	BRASSICACEAE	Draba	borealis			672136	D. borealis	-	-	-	-	-	-	-	-	-	-	?	-	r	s	s	r	-	-	-	-	-	-	-	-	R	S	S
D. sibirica subsp. arctica	BRASSICACEAE	Draba	sibirica	subsp.	arctica	672137a	D. sibirica subsp. arctica	-	-	s	-	s	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	S	F	F	F
D. nemorosa	BRASSICACEAE	Draba	nemorosa			672138	D. nemorosa	-	-	*	-	*	*	*	*	*	-	*	-	-	*	r	r	-	r	-	-	-	-	-	-	-	S	F
D. verna	BRASSICACEAE	Draba	verna			672139	D. verna	s	**	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	**	-	-	-	-	-	R	S
D. aurea	BRASSICACEAE	Draba	aurea			672140	D. aurea	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	f	r	-	-	R	F	F	F
D. incerta	BRASSICACEAE	Draba	incerta			672141	D. incerta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	-	R	R
D. crassifolia	BRASSICACEAE	Draba	crassifolia			672142	D. crassifolia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	r	r	-	s	s	-	-	R	F	F	F
D. stenoloba	BRASSICACEAE	Draba	stenoloba			672143	D. stenoloba	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	-	R	S
D. grandis	BRASSICACEAE	Draba	grandis			672244	D. grandis	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	-	-	R	S
C. officinalis subsp. officinalis	BRASSICACEAE	Cochlearia	officinalis	subsp.	officinalis	672201a	C. officinalis subsp. officinalis	-	f	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
C. officinalis subsp. norvegica	BRASSICACEAE	Cochlearia	officinalis	subsp.	norvegica	672201b	C. officinalis subsp. norvegica	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
C. officinalis subsp. integrifolia	BRASSICACEAE	Cochlearia	officinalis	subsp.	integrifolia	672201c	C. officinalis subsp. integrifolia	-	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	S
C. officinalis subsp. islandica	BRASSICACEAE	Cochlearia	officinalis	subsp.	islandica	672201d	C. officinalis subsp. islandica	f	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
C. groenlandica	BRASSICACEAE	Cochlearia	groenlandica			672202	C. groenlandica	-	-	r	f	f	s	f	s	r	s	s	f	-	f	s	f	f	f	f	f	f	F	F	F	F	F	S
C. lenensis	BRASSICACEAE	Cochlearia	lenensis			672203	C. lenensis	-	-	-	-	-	-	r	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	R	R
C. arctica subsp. arctica	BRASSICACEAE	Cochlearia	arctica	subsp.	arctica	672204a	C. arctica subsp. arctica	-	s	s	-	f	f	f	s	s	s	s	f	r	f	s	-	-	-	-	-	-	-	-	R	F	F	F
C. arctica subsp. oblongifolia	BRASSICACEAE	Cochlearia	arctica	subsp.	oblongifolia	672204b	C. arctica subsp. oblongifolia	-	-	-	-	-	-	-	-	-	-	-	-	r	s	r	-	-	-	-	-	-	-	-	-	R	R	S
T. arvense	BRASSICACEAE	Thlaspi	arvense			672301	T. arvense	*	**	**	**	**	-	**	-	-	-	-	-	-	-	**	-	**	**	-	*	-	-	-	**	**	*	R
N. arctica	BRASSICACEAE	Noccaea	arctica			672401	N. arctica	-	-	-	-	r	-	r	-	r	-	r	-	-	-	-	s	-	-	-	-	-	-	-	-	R	R	S
N. camtschatica	BRASSICACEAE	Noccaea	camtschatica			672502	N. camtschatica	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	R	S
C. bursa-pastoris	BRASSICACEAE	Capsella	bursa-pastoris			672501	C. bursa-pastoris	*	*	*	**	*	-	*	-	-	-	-	-	-	-	**	*	*	*	-	*	-	-	-	**	*	*	S
B. rapa subsp. campestris	BRASSICACEAE	Brassica	rapa	subsp.	campestris	672601a	B. rapa subsp. campestris	**	**	**	-	-	-	**	-	**	-	**	-	-	-	*	-	-	**	-	**	**	-	-	**	**	*	*
S. aquatica subsp. aquatica	BRASSICACEAE	Subularia	aquatica	subsp.	aquatica	672701a	S. aquatica subsp. aquatica	f	r	r	-	-	r	-	-	-	-	-	-	r	-	r	-	-	-	-	-	-	-	-	-	-	R	F
S. aquatica subsp. americana	BRASSICACEAE	Subularia	aquatica	subsp.	americana	672701b	S. aquatica subsp. americana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	b	r	-	s	r	-	-	?	R	R	F
C. maritima subsp. islandica	BRASSICACEAE	Cakile	maritima	subsp.	islandica	672801a	C. maritima subsp. islandica	s	s	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	-	R	F
C. edentula (subsp. edentula)	BRASSICACEAE	Cakile	edentula	(subsp.	edentula)	672802	C. edentula (subsp. edentula)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	R	F
C. suecicum	CORNACEAE	Chamaepericlymenum	suecicum			680101	C. suecicum	s	f	s	-	r	r	-	-	-	-	-	-	s	r	f	r	-	r	-	s	r	-	-	-	R	F	F
C. canadense	CORNACEAE	Chamaepericlymenum	canadense			680102	C. canadense	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	r	-	r	-	-	-	-	-	S	F
C. unalaschkense	CORNACEAE	Chamaepericlymenum	unalaschkense			680103	C. unalaschkense	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	-	-	r	-	r	-	-	-	-	-	R	F
S. alba	CORNACEAE	Swida	alba			680201	S. alba	-	-	b	-	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	S
S. sericea	CORNACEAE	Swida	sericea			680202	S. sericea	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	b	-	b	-	-	-	-	-	-	-	b	F
I. noli-tangere	BALSAMINACEAE	Impatiens	noli-tangere			690101	I. noli-tangere	-	-	-	-	-	-	b	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	S
P. sibirica	POLEMONIACEAE	Phlox	sibirica			700101	P. sibirica	-	-	-	-	-	-	r	?	-	r	s	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S	S
P. borealis	POLEMONIACEAE	Phlox	borealis			700102	P. borealis	-	-	-	-	-	-	-	-	-	-	-	-	-	s	s	-	-	-	-	-	-	-	-	-	R	S	S
P. alaskensis	POLEMONIACEAE	Phlox	alaskensis			700103	P. alaskensis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	f	-	-	-	-	-	-	-	-	R	S	S
P. hoodii	POLEMONIACEAE	Phlox	hoodii			700104	P. hoodii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	s	-	-	-	-	-	-	R	S	S	S
P. caeruleum subsp. caeruleum	POLEMONIACEAE	Polemonium	caeruleum	subsp.	caeruleum	700201a	P. caeruleum subsp. caeruleum	-	r	b	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
P. caeruleum subsp. schmidtii	POLEMONIACEAE	Polemonium	caeruleum	subsp.	schmidtii	700201b	P. caeruleum subsp. schmidtii	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
P. acutiflorum	POLEMONIACEAE	Polemonium	acutiflorum			700202	P. acutiflorum	-	r	f	-	f	f	f	s	f	f	f	f	f	f	f	f	r	-	-	-	-	-	-	R	F	F	F
P. boreale	POLEMONIACEAE	Polemonium	boreale			700203	P. boreale	-	r	f	s	f	f	f	s	f	r	f	f	s	s	s	f	s	-	-	-	r	-	R	F	F	F	S
P. villosissimum	POLEMONIACEAE	Polemonium	villosissimum			700204	P. villosissimum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	b	S
P. pulcherrimum subsp. pulcherrimum	POLEMONIACEAE	Polemonium	pulcherrimum	subsp.	pulcherrimum	700205a	P. pulcherrimum subsp. pulcherrimum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	b	R
P. pulcherrimum subsp. lindleyi	POLEMONIACEAE	Polemonium	pulcherrimum	subsp.	lindleyi	700205b	P. pulcherrimum subsp. lindleyi	-	-	-	-	-	-	-	-	-	?	-	-	r	?	r	r	r	-	-	-	-	-	-	-	R	R	F
P. elatior (subsp. elatior)	PRIMULACEAE	Primula	elatior	(subsp.	elatior)	710101	P. elatior (subsp. elatior)	-	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	*
P. nutans subsp. nutans	PRIMULACEAE	Primula	nutans	subsp.	nutans	710102a	P. nutans subsp. nutans	-	-	-	-	-	-	-	-	-	-	-	-	-	r	s	b	-	-	-	-	-	-	-	?	R	S	S
P. nutans subsp. finmarchia	PRIMULACEAE	Primula	nutans	subsp.	finmarchia	710102b	P. nutans subsp. finmarchia	-	s	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F	S
P. stricta	PRIMULACEAE	Primula	stricta			710103	P. stricta	b	s	s	-	s	r	-	-	-	-	-	-	-	-	-	-	s	s	-	s	r	-	-	R	F	F	S
P. incana	PRIMULACEAE	Primula	incana			710104	P. incana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	b	S
P. mistassinica	PRIMULACEAE	Primula	mistassinica			710105	P. mistassinica	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	r	-	-	-	-	-	-	-	-	R	S
